colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
58,244,174.385,78,0,N,N,NA,NA,15.3636,0,0.363636,403.45455,167.81818,90.636364,4.545
58,245,162.274,316,0,N,N,F,C,430.727,0,1.18182,567.27273,272.81818,155.36364,4.182
58,255,159.226,85,0,N,N,N,NA,183.364,0.636364,0.909091,423.63636,107.63636,38.272727,11.45
58,260,178.908,78,0,N,N,NA,NA,113.727,0,0,508.63636,109.72727,52.363636,16.91
58,261,205.937,14,0,N,N,N,N,22.2727,0.363636,2.36364,490.90909,242.54545,82.181818,8
58,263,134.974,40,0,N,N,N,C,293.182,0,1.45455,277.27273,104.81818,53.636364,2.273
58,294,150.814,78,0,N,N,F,F,143.091,0.0909091,5.81818,396.90909,155.45455,70.363636,8.909
58,305,163.67,14,0,N,N,N,N,477.182,0,1.36364,581,89.727273,31.818182,7.273
58,308,163.835,106,0,N,N,F,F,160.727,0.363636,0.818182,385.72727,225.45455,133.27273,3.273
58,332,140.132,40,0,N,C,F,F,71.2727,0.454545,7.45455,359.81818,292.45455,114.09091,4
58,334,150.147,40,0,N,N,N,C,290.182,0,0,423.63636,67.363636,31.818182,43.18
58,353,148.661,40,0,N,N,N,N,1048.64,0,0,447.09091,53.363636,18.090909,31.27
58,356,136.795,50,0,N,C,NA,NA,295.727,1,154.909,459.90909,289.81818,104.72727,2.455
58,376,151.743,40,0,N,N,N,N,217.909,2.45455,11,312,65.909091,25.727273,19.09
58,387,151.634,442,0,N,N,N,N,143.455,0.0909091,0.727273,301.54545,130.45455,46.090909,2.909
58,391,204.12,14,1,N,N,N,C,296.818,0.636364,25,513.54545,160.09091,63.727273,40.73
58,398,144.903,14,0,N,NA,NA,NA,416.909,0.636364,2.09091,450.27273,62.272727,38.090909,21.09
58,540,172.467,14,0,N,N,NA,NA,150.455,0,7.63636,401,91.090909,31.454545,12
58,549,154.311,14,0,N,C,F,F,209.364,0,0.909091,571.18182,295.63636,188.54545,2.091
58,575,137.084,71,0,N,C,NA,NA,257.909,0.909091,16.7273,464.72727,234,112.18182,3.455
58,580,137.317,64,0,N,C,F,F,174.818,1,6.72727,426.63636,230.18182,74.454545,5
